区域：长宁 长宁周边 	楼盘：东大大学科技园	地段：淞虹路,北新泾附近	类别：写字楼 （可注册公司）	面积：120㎡	价格：13000 元/月   	
区域：长宁 长宁周边 	楼盘：统一企业大厦	地段：淞虹路附近	类别：写字楼 （可注册公司）	面积：100㎡	价格：9800 元/月   	
区域：宝山 罗店 	楼盘：上海智汇园	地段：宝山区张庙街道附近 或 呼兰路911弄11号	类别：写字楼	面积：44000㎡	价格：2 元/㎡/天   	
区域：宝山 罗店 	楼盘：上海博济美兰湖园(罗店项目)	地段：罗店镇月罗路附近 或 2255号	类别：写字楼	面积：32000㎡	价格：1 元/㎡/天   	
区域：宝山 共富新村 	楼盘：新宝中心	地段：1号线宝安公路地铁站附近 或 云域众创	类别：写字楼 （可注册公司）	面积：1025㎡	价格：700 元/月   	
区域：闵行 浦江 	楼盘：寰启商务	地段：8号线,江月路站附近	类别：写字楼 （可注册公司）	面积：800㎡	价格：1.6 元/㎡/天   	
区域：闸北 汶水路 	楼盘：中融信托大厦	地段：江场路1228弄附近 或 共和新路	类别：写字楼	面积：650㎡	价格：4.5 元/㎡/天   	
区域：浦东 外高桥 	楼盘：兰宝大厦	地段：加太路29号1号楼西座附近 或 富特北路附近	类别：写字楼	面积：100㎡	价格：1.4 元/㎡/天   	
区域：闵行 吴泾 	楼盘：绿亮集团虹梅南路科技园	地段：虹梅南路4289号附近 或 近元江路	类别：写字楼 （可注册公司）	面积：89㎡	价格：1.4 元/㎡/天   	
区域：浦东 陆家嘴 	楼盘：上海中心大厦	地段：浦东陆家嘴附近 或 上海中心大厦	类别：写字楼 （可注册公司）	面积：500㎡	价格：16 元/㎡/天   	
区域：浦东 外高桥 	楼盘：兰宝大厦	地段：加太路29号1号楼西座附近 或 富特北路附近	类别：写字楼	面积：100㎡	价格：1.4 元/㎡/天   	
区域：宝山 大场 	楼盘：上海华生创谷产业园	地段：沪太路真大路附近 或 真大路551号-557号	类别：写字楼 （可注册公司）	面积：2000㎡	价格：2.2 元/㎡/天   	
区域：松江 泗泾 	楼盘：绿亮科创园	地段：高技路655号附近 或 莘砖公路	类别：写字楼 （可注册公司）	面积：75㎡	价格：0.85 元/㎡/天   	
区域：浦东 陆家嘴 	楼盘：上海中心大厦	地段：浦东陆家嘴附近 或 上海中心大厦	类别：写字楼 （可注册公司）	面积：500㎡	价格：16 元/㎡/天   	
区域：松江 泗泾 	楼盘：绿亮科创园	地段：高技路655号附近 或 莘砖公路	类别：写字楼 （可注册公司）	面积：75㎡	价格：0.85 元/㎡/天   	
区域：嘉定 江桥新城 	楼盘：协通大厦	地段：曹安公路与翔江公路附近附近	类别：写字楼	面积：200㎡	价格：1.8 元/㎡/天   	
区域：黄浦 南京东路 	楼盘：科技京城	地段：北京东路68号附近	类别：写字楼 （可注册公司）	面积：20㎡	价格：面议   	
区域：宝山 共富新村 	楼盘：新宝中心	地段：1号线宝安公路地铁站附近 或 云域众创	类别：写字楼 （可注册公司）	面积：1025㎡	价格：700 元/月   	
区域：闵行 浦江 	楼盘：寰启商务	地段：8号线,江月路站附近	类别：写字楼 （可注册公司）	面积：800㎡	价格：1.6 元/㎡/天   	
区域：长宁 长宁周边 	楼盘：统一企业大厦	地段：淞虹路附近	类别：写字楼 （可注册公司）	面积：100㎡	价格：9800 元/月   	
区域：长宁 长宁周边 	楼盘：东大大学科技园	地段：淞虹路,北新泾附近	类别：写字楼 （可注册公司）	面积：120㎡	价格：13000 元/月   	
区域：嘉定 江桥新城 	楼盘：协通大厦	地段：曹安公路与翔江公路附近附近	类别：写字楼	面积：200㎡	价格：1.8 元/㎡/天   	
区域：黄浦 南京东路 	楼盘：科技京城	地段：北京东路68号附近	类别：写字楼 （可注册公司）	面积：20㎡	价格：面议   	
区域：青浦 华新镇 	楼盘：e通世界商务园华新园	地段：大虹桥枢纽附近 或 华隆路1777号	类别：写字楼 （可注册公司）	面积：280㎡	价格：1.1 元/㎡/天   	
区域：嘉定 江桥新城 	楼盘：歆翱商务园	地段：金沙江西路华江路附近 或 金园一路爱特路	类别：写字楼 （可注册公司）	面积：500㎡	价格：1.5 元/㎡/天   	
区域：青浦 华新镇 	楼盘：e通世界商务园华新园	地段：大虹桥枢纽附近 或 华隆路1777号	类别：写字楼 （可注册公司）	面积：280㎡	价格：1.1 元/㎡/天   	
区域：嘉定 江桥新城 	楼盘：歆翱商务园	地段：金沙江西路华江路附近 或 金园一路爱特路	类别：写字楼 （可注册公司）	面积：500㎡	价格：1.5 元/㎡/天   	
区域：宝山 共康 	楼盘：风尚天地	地段：共和新路5000弄附近	类别：商住公寓	面积：45㎡	价格：3800.0 元/月   	
区域：嘉定 江桥新城 	楼盘：协通大厦	地段：曹安公路与翔江公路路口附附近	类别：写字楼	面积：90㎡	价格：面议   	
区域：杨浦 鞍山 	楼盘：合生财富国际广场	地段：四平路附近 或 大连路	类别：写字楼	面积：630㎡	价格：5.3 元/㎡/天   	
区域：青浦 青浦周边 	楼盘：尚之坊—时尚文化创意园	地段：崧泽大道6066号附近 或 近赵重公路	类别：写字楼 （可注册公司）	面积：200㎡	价格：1.3 元/㎡/天   	
区域：闸北 汶水路 	楼盘：中融信托大厦	地段：江场路1228弄附近 或 共和新路	类别：写字楼	面积：650㎡	价格：4.5 元/㎡/天   	
区域：浦东 外高桥 	楼盘：兰宝大厦	地段：加太路29号1号楼西座附近 或 富特北路附近	类别：写字楼	面积：100㎡	价格：1.4 元/㎡/天   	
区域：宝山 共康 	楼盘：风尚天地	地段：共和新路5000弄附近	类别：商住公寓	面积：45㎡	价格：3800.0 元/月   	
区域：嘉定 江桥新城 	楼盘：协通大厦	地段：曹安公路与翔江公路路口附附近	类别：写字楼	面积：90㎡	价格：面议   	
区域：宝山 罗店 	楼盘：上海博济美兰湖园(罗店项目)	地段：罗店镇月罗路附近 或 2255号	类别：写字楼	面积：32000㎡	价格：1 元/㎡/天   	
区域：宝山 罗店 	楼盘：上海智汇园	地段：宝山区张庙街道附近 或 呼兰路911弄11号	类别：写字楼	面积：44000㎡	价格：2 元/㎡/天   	
区域：浦东 陆家嘴 	楼盘：上海中心大厦	地段：浦东陆家嘴附近 或 上海中心大厦	类别：写字楼 （可注册公司）	面积：500㎡	价格：16 元/㎡/天   	
区域：松江 泗泾 	楼盘：绿亮科创园	地段：高技路655号附近 或 莘砖公路	类别：写字楼 （可注册公司）	面积：75㎡	价格：0.85 元/㎡/天   	
区域：闵行 吴泾 	楼盘：绿亮集团虹梅南路科技园	地段：虹梅南路4289号附近 或 近元江路	类别：写字楼 （可注册公司）	面积：89㎡	价格：1.4 元/㎡/天   	
区域：宝山 大场 	楼盘：上海华生创谷产业园	地段：沪太路真大路附近 或 真大路551号-557号	类别：写字楼 （可注册公司）	面积：2000㎡	价格：2.2 元/㎡/天   	
区域：闵行 吴泾 	楼盘：绿亮集团虹梅南路科技园	地段：虹梅南路4289号附近 或 近元江路	类别：写字楼 （可注册公司）	面积：89㎡	价格：1.4 元/㎡/天   	
区域：宝山 大场 	楼盘：上海华生创谷产业园	地段：沪太路真大路附近 或 真大路551号-557号	类别：写字楼 （可注册公司）	面积：2000㎡	价格：2.2 元/㎡/天   	
区域：普陀 武宁路 	楼盘：我格广场	地段：武宁路附近 或 普雄路	类别：商务中心 （可注册公司）	面积：20㎡	价格：4000 元/月   	
区域：普陀 武宁路 	楼盘：我格广场	地段：武宁路附近 或 普雄路	类别：商务中心 （可注册公司）	面积：20㎡	价格：4000 元/月   	
区域：普陀 桃浦 	楼盘：陆交商务中心	地段：金迈路1号附近 或 价格面谈为准	类别：写字楼 （可注册公司）	面积：130㎡	价格：1.6 元/㎡/天   	
区域：闵行 虹桥 	楼盘：恒润大厦	地段：徐泾明珠路838号附近 或 建设大楼北面	类别：写字楼	面积：157㎡	价格：2.1 元/㎡/天   	
区域：松江 松江工业区 	楼盘：宝胜国际财富广场	地段：荣乐东路附近 或 宝胜路18号	类别：写字楼 （可注册公司）	面积：98㎡	价格：1.3 元/㎡/天   	
区域：松江 松江老城 	楼盘：宝胜财富广场	地段：荣乐东路附近 或 宝胜路18号	类别：写字楼 （可注册公司）	面积：205㎡	价格：1.3 元/㎡/天   	
区域：松江 松江老城 	楼盘：宝胜财富广场	地段：荣乐东路附近 或 宝胜路18号	类别：写字楼 （可注册公司）	面积：205㎡	价格：1.3 元/㎡/天   	
区域：松江 松江老城 	楼盘：宝胜财富广场	地段：荣乐东路附近 或 宝胜路18号	类别：写字楼 （可注册公司）	面积：205㎡	价格：1.3 元/㎡/天   	
区域：闸北 汶水路 	楼盘：祥腾财富广场	地段：共和新路3088弄/汶水附近 或 大润发.苏宁电器边	类别：写字楼 （可注册公司）	面积：240㎡	价格：15000 元/月   	
区域：闸北 大宁路 	楼盘：祥腾财富广场	地段：共和新路3088弄/汶水附近 或 大润发.苏宁电器边	类别：写字楼 （可注册公司）	面积：428㎡	价格：24000 元/月   	
区域：闸北 汶水路 	楼盘：中铁中环时代广场	地段：江场西路299弄/万荣路附近 或 大润发里面	类别：写字楼 （可注册公司）	面积：150㎡	价格：12500 元/月   	
区域：闸北 汶水路 	楼盘：中铁中环时代广场	地段：江场西路299弄/万荣路附近 或 大润发里面	类别：写字楼 （可注册公司）	面积：150㎡	价格：12500 元/月   	
区域：松江 松江大学城 	楼盘：松江万达广场	地段：广富林路附近 或 光星路	类别：写字楼 （可注册公司）	面积：47㎡	价格：1500 元/月   	
区域：松江 松江大学城 	楼盘：松江昂立国际写字楼	地段：广富林路附近 或 广富林路中黄路	类别：写字楼 （可注册公司）	面积：96㎡	价格：6000 元/月   	
区域：松江 松江大学城 	楼盘：松江万达广场写字楼	地段：广富林路附近 或 广富林路中黄路	类别：写字楼	面积：57㎡	价格：2300 元/月   	
